Time,acceleration
0,0.024686
4.00E-05,0.033429
8.00E-05,0.037763
0.000120004,0.029868
0.000160005,0.005152
0.000200006,-0.031286
0.000240008,-0.056485
0.000280009,-0.061254
0.00032001,-0.05407
0.000360011,-0.031851
0.000400013,0.000341
0.000440014,0.030184
0.000480015,0.061148
0.000520016,0.072621
0.000560018,0.066141
0.000600019,0.032704
0.00064002,-0.009903
0.000680022,-0.041516
0.000720023,-0.062096
0.000760024,-0.062445
0.000800025,-0.044172
0.000840027,-0.014436
0.000880028,0.014031
0.000920029,0.039127
0.00096003,0.055296
0.001000032,0.048437
0.001040033,0.019312
0.001080034,-0.011577
0.001120036,-0.035877
0.001160037,-0.050124
0.001200038,-0.046217
0.001240039,-0.028919
0.001280041,-0.004513
0.001320042,0.020477
0.001360043,0.044181
0.001400044,0.058666
0.001440046,0.053158
0.001480047,0.030441
0.001520048,0.002908
0.001560049,-0.021311
0.001600051,-0.036001
0.001640052,-0.03762
0.001680053,-0.031704
0.001720055,-0.023896
0.001760056,-0.011668
0.001800057,0.006285
0.001840058,0.022262
0.00188006,0.021912
0.001920061,0.014456
0.001960062,0.00539
0.002000063,-0.000898
0.002040065,0.002262
0.002080066,0.012225
0.002120067,0.016545
0.002160069,0.014774
0.00220007,0.012696
0.002240071,0.009169
0.002280072,-0.003135
0.002320074,-0.023459
0.002360075,-0.037809
0.002400076,-0.047454
0.002440077,-0.04265
0.002480079,-0.020692
0.00252008,0.013069
0.002560081,0.045814
0.002600082,0.069381
0.002640084,0.073679
0.002680085,0.05387
0.002720086,0.019794
0.002760088,-0.019106
0.002800089,-0.053291
0.00284009,-0.075319
0.002880091,-0.088932
0.002920093,-0.070919
0.002960094,-0.028382
0.003000095,0.011522
0.003040096,0.052805
0.003080098,0.08529
0.003120099,0.07631
0.0031601,0.052142
0.003200102,0.024024
0.003240103,-0.004508
0.003280104,-0.038868
0.003320105,-0.057562
0.003360107,-0.052078
0.003400108,-0.034285
0.003440109,-0.012785
0.00348011,0.011448
0.003520112,0.022471
0.003560113,0.023682
0.003600114,0.01438
0.003640115,0.005579
0.003680117,5.95E-05
0.003720118,-0.011433
0.003760119,-0.011531
0.003800121,-0.003212
0.003840122,0.002575
0.003880123,0.005409
0.003920124,0.009666
0.003960126,0.012237
0.004000127,0.000645
0.004040128,-0.010772
0.004080129,-0.008797
0.004120131,-0.010195
0.004160132,-0.015543
0.004200133,-0.008477
0.004240135,0.003934
0.004280136,0.011371
0.004320137,0.017566
0.004360138,0.022956
0.00440014,0.01752
0.004440141,-0.000448
0.004480142,-0.016508
0.004520143,-0.023417
0.004560145,-0.025436
0.004600146,-0.024609
0.004640147,-0.007424
0.004680148,0.015125
0.00472015,0.02944
0.004760151,0.041018
0.004800152,0.045907
0.004840154,0.02933
0.004880155,-0.006379
0.004920156,-0.038826
0.004960157,-0.055931
0.005000159,-0.063773
0.00504016,-0.053151
0.005080161,-0.020372
0.005120162,0.018627
0.005160164,0.052514
0.005200165,0.083003
0.005240166,0.09052
0.005280168,0.063599
0.005320169,0.019705
0.00536017,-0.020575
0.005400171,-0.054035
0.005440173,-0.075366
0.005480174,-0.067235
0.005520175,-0.063086
0.005560176,-0.023713
0.005600178,0.002982
0.005640179,0.043265
0.00568018,0.062597
0.005720181,0.056286
0.005760183,0.03572
0.005800184,0.014328
0.005840185,-0.000953
0.005880187,-0.015752
0.005920188,-0.025571
0.005960189,-0.026513
0.00600019,-0.018473
0.006040192,-0.007928
0.006080193,0.001368
0.006120194,0.003087
0.006160195,-0.007086
0.006200197,-0.019838
0.006240198,-0.016163
0.006280199,-0.009397
0.006320201,-0.002531
0.006360202,0.017861
0.006400203,0.027002
0.006440204,0.034369
0.006480206,0.033793
0.006520207,0.024606
0.006560208,0.001136
0.006600209,-0.0332
0.006640211,-0.055701
0.006680212,-0.059664
0.006720213,-0.053147
0.006760214,-0.032922
0.006800216,0.000527
0.006840217,0.033045
0.006880218,0.062736
0.00692022,0.071819
0.006960221,0.064713
0.007000222,0.033102
0.007040223,-0.009451
0.007080225,-0.038968
0.007120226,-0.058387
0.007160227,-0.061369
0.007200228,-0.04584
0.00724023,-0.015622
0.007280231,0.014269
0.007320232,0.039947
0.007360234,0.055766
0.007400235,0.048968
0.007440236,0.020154
0.007480237,-0.011463
0.007520239,-0.03468
0.00756024,-0.048076
0.007600241,-0.047112
0.007640242,-0.032245
0.007680244,-0.007135
0.007720245,0.01927
0.007760246,0.044599
0.007800247,0.059402
0.007840249,0.053263
0.00788025,0.030129
0.007920251,0.00364
0.007960253,-0.018774
0.008000254,-0.033766
0.008040255,-0.036871
0.008080256,-0.031988
0.008120258,-0.024296
0.008160259,-0.011542
0.00820026,0.006846
0.008240261,0.021849
0.008280263,0.021645
0.008320264,0.012807
0.008360265,0.00338
0.008400266,-0.002305
0.008440268,0.000889
0.008480269,0.010777
0.00852027,0.01582
0.008560272,0.013748
0.008600273,0.012303
0.008640274,0.009283
0.008680275,-0.003244
0.008720277,-0.022829
0.008760278,-0.038044
0.008800279,-0.047557
0.00884028,-0.04229
0.008880282,-0.020715
0.008920283,0.014245
0.008960284,0.046825
0.009000286,0.070542
0.009040287,0.074888
0.009080288,0.054616
0.009120289,0.020976
0.009160291,-0.017769
0.009200292,-0.053093
0.009240293,-0.075001
0.009280294,-0.088342
0.009320296,-0.073933
0.009360297,-0.026721
0.009400298,0.007221
0.009440299,0.053944
0.009480301,0.083284
0.009520302,0.072905
0.009560303,0.052408
0.009600305,0.023899
0.009640306,-0.004545
0.009680307,-0.037658
0.009720308,-0.055527
0.00976031,-0.050861
0.009800311,-0.034262
0.009840312,-0.01203
0.009880313,0.0135
0.009920315,0.025081
0.009960316,0.025448
0.010000317,0.013947
0.010040319,0.005887
0.01008032,0.002846
0.010120321,-0.009713
0.010160322,-0.010008
0.010200324,-0.004516
0.010240325,0.00216
0.010280326,0.005991
0.010320327,0.009916
0.010360329,0.013954
0.01040033,-0.000164
0.010440331,-0.013307
0.010480332,-0.011274
0.010520334,-0.011151
0.010560335,-0.01533
0.010600336,-0.009494
0.010640338,0.001908
0.010680339,0.011632
0.01072034,0.018961
0.010760341,0.024989
0.010800343,0.019027
0.010840344,-0.000105
0.010880345,-0.01579
0.010920346,-0.023143
0.010960348,-0.023739
0.011000349,-0.021203
0.01104035,-0.006481
0.011080352,0.015595
0.011120353,0.029445
0.011160354,0.041234
0.011200355,0.046242
0.011240357,0.027419
0.011280358,-0.008729
0.011320359,-0.04008
0.01136036,-0.057175
0.011400362,-0.063835
0.011440363,-0.053969
0.011480364,-0.021699
0.011520365,0.016658
0.011560367,0.049622
0.011600368,0.081485
0.011640369,0.088436
0.011680371,0.062431
0.011720372,0.020535
0.011760373,-0.019812
0.011800374,-0.053095
0.011840376,-0.073476
0.011880377,-0.071886
0.011920378,-0.063783
0.011960379,-0.02242
0.012000381,0.002591
0.012040382,0.042444
0.012080383,0.067486
0.012120385,0.053654
0.012160386,0.03197
0.012200387,0.016791
0.012240388,0.003423
0.01228039,-0.013709
0.012320391,-0.027069
0.012360392,-0.024525
0.012400393,-0.015757
0.012440395,-0.006112
0.012480396,0.005157
0.012520397,0.007539
0.012560398,-0.005189
0.0126004,-0.021377
0.012640401,-0.021943
0.012680402,-0.006371
0.012720404,0.001713
0.012760405,0.017547
0.012800406,0.030084
0.012840407,0.036017
0.012880409,0.03551
0.01292041,0.026311
0.012960411,0.003355
0.013000412,-0.031451
0.013040414,-0.057911
0.013080415,-0.060333
0.013120416,-0.052816
0.013160418,-0.031974
0.013200419,0.002982
0.01324042,0.032206
0.013280421,0.061359
0.013320423,0.071009
0.013360424,0.063824
0.013400425,0.032626
0.013440426,-0.007324
0.013480428,-0.040275
0.013520429,-0.059036
0.01356043,-0.059497
0.013600431,-0.045225
0.013640433,-0.01588
0.013680434,0.014725
0.013720435,0.038986
0.013760437,0.052361
0.013800438,0.048344
0.013840439,0.021573
0.01388044,-0.011282
0.013920442,-0.036755
0.013960443,-0.04852
0.014000444,-0.047428
0.014040445,-0.033605
0.014080447,-0.006651
