Time,acceleration,,,
0.00600019,-0.018473,151,755,1500
0.006040192,-0.007928,152,760,1510
0.006080193,0.001368,153,765,1520
0.006120194,0.003087,154,770,1530
0.006160195,-0.007086,155,775,1540
0.006200197,-0.019838,156,780,1550
0.006240198,-0.016163,157,785,1560
0.006280199,-0.009397,158,790,1570
0.006320201,-0.002531,159,795,1580
0.006360202,0.017861,160,800,1590
0.006400203,0.027002,161,805,1600
0.006440204,0.034369,162,810,1610
0.006480206,0.033793,163,815,1620
0.006520207,0.024606,164,820,1630
0.006560208,0.001136,165,825,1640
0.006600209,-0.0332,166,830,1650
0.006640211,-0.055701,167,835,1660
0.006680212,-0.059664,168,840,1670
0.006720213,-0.053147,169,845,1680
0.006760214,-0.032922,170,850,1690
0.006800216,0.000527,171,855,1700
0.006840217,0.033045,172,860,1710
0.006880218,0.062736,173,865,1720
0.00692022,0.071819,174,870,1730
0.006960221,0.064713,175,875,1740
0.007000222,0.033102,176,880,1750
0.007040223,-0.009451,177,885,1760
0.007080225,-0.038968,178,890,1770
0.007120226,-0.058387,179,895,1780
0.007160227,-0.061369,180,900,1790
0.007200228,-0.04584,181,905,1800
0.00724023,-0.015622,182,910,1810
0.007280231,0.014269,183,915,1820
0.007320232,0.039947,184,920,1830
0.007360234,0.055766,185,925,1840
0.007400235,0.048968,186,930,1850
0.007440236,0.020154,187,935,1860
0.007480237,-0.011463,188,940,1870
0.007520239,-0.03468,189,945,1880
0.00756024,-0.048076,190,950,1890
0.007600241,-0.047112,191,955,1900
0.007640242,-0.032245,192,960,1910
0.007680244,-0.007135,193,965,1920
0.007720245,0.01927,194,970,1930
0.007760246,0.044599,195,975,1940
0.007800247,0.059402,196,980,1950
0.007840249,0.053263,197,985,1960
0.00788025,0.030129,198,990,1970
0.007920251,0.00364,199,995,1980
0.007960253,-0.018774,200,1000,1990
0.008000254,-0.033766,201,1005,2000
0.008040255,-0.036871,202,1010,2010
0.008080256,-0.031988,203,1015,2020
0.008120258,-0.024296,204,1020,2030
0.008160259,-0.011542,205,1025,2040
0.00820026,0.006846,206,1030,2050
0.008240261,0.021849,207,1035,2060
0.008280263,0.021645,208,1040,2070
0.008320264,0.012807,209,1045,2080
0.008360265,0.00338,210,1050,2090
0.008400266,-0.002305,211,1055,2100
0.008440268,0.000889,212,1060,2110
0.008480269,0.010777,213,1065,2120
0.00852027,0.01582,214,1070,2130
0.008560272,0.013748,215,1075,2140
0.008600273,0.012303,216,1080,2150
0.008640274,0.009283,217,1085,2160
0.008680275,-0.003244,218,1090,2170
0.008720277,-0.022829,219,1095,2180
0.008760278,-0.038044,220,1100,2190
0.008800279,-0.047557,221,1105,2200
0.00884028,-0.04229,222,1110,2210
0.008880282,-0.020715,223,1115,2220
0.008920283,0.014245,224,1120,2230
0.008960284,0.046825,225,1125,2240
0.009000286,0.070542,226,1130,2250
0.009040287,0.074888,227,1135,2260
0.009080288,0.054616,228,1140,2270
0.009120289,0.020976,229,1145,2280
0.009160291,-0.017769,230,1150,2290
0.009200292,-0.053093,231,1155,2300
0.009240293,-0.075001,232,1160,2310
0.009280294,-0.088342,233,1165,2320
0.009320296,-0.073933,234,1170,2330
0.009360297,-0.026721,235,1175,2340
0.009400298,0.007221,236,1180,2350
0.009440299,0.053944,237,1185,2360
0.009480301,0.083284,238,1190,2370
0.009520302,0.072905,239,1195,2380
0.009560303,0.052408,240,1200,2390
0.009600305,0.023899,241,1205,2400
0.009640306,-0.004545,242,1210,2410
0.009680307,-0.037658,243,1215,2420
0.009720308,-0.055527,244,1220,2430
0.00976031,-0.050861,245,1225,2440
0.009800311,-0.034262,246,1230,2450
0.009840312,-0.01203,247,1235,2460
0.009880313,0.0135,248,1240,2470
0.009920315,0.025081,249,1245,2480
0.009960316,0.025448,250,1250,2490
0.010000317,0.013947,251,1255,2500
0.010040319,0.005887,252,1260,2510
0.01008032,0.002846,253,1265,2520
0.010120321,-0.009713,254,1270,2530
0.010160322,-0.010008,255,1275,2540
0.010200324,-0.004516,256,1280,2550
0.010240325,0.00216,257,1285,2560
0.010280326,0.005991,258,1290,2570
0.010320327,0.009916,259,1295,2580
0.010360329,0.013954,260,1300,2590
0.01040033,-0.000164,261,1305,2600
0.010440331,-0.013307,262,1310,2610
0.010480332,-0.011274,263,1315,2620
0.010520334,-0.011151,264,1320,2630
0.010560335,-0.01533,265,1325,2640
0.010600336,-0.009494,266,1330,2650
0.010640338,0.001908,267,1335,2660
0.010680339,0.011632,268,1340,2670
0.01072034,0.018961,269,1345,2680
0.010760341,0.024989,270,1350,2690
0.010800343,0.019027,271,1355,2700
0.010840344,-0.000105,272,1360,2710
0.010880345,-0.01579,273,1365,2720
0.010920346,-0.023143,274,1370,2730
0.010960348,-0.023739,275,1375,2740
0.011000349,-0.021203,276,1380,2750
0.01104035,-0.006481,277,1385,2760
0.011080352,0.015595,278,1390,2770
0.011120353,0.029445,279,1395,2780
0.011160354,0.041234,280,1400,2790
0.011200355,0.046242,281,1405,2800
0.011240357,0.027419,282,1410,2810
0.011280358,-0.008729,283,1415,2820
0.011320359,-0.04008,284,1420,2830
0.01136036,-0.057175,285,1425,2840
0.011400362,-0.063835,286,1430,2850
0.011440363,-0.053969,287,1435,2860
0.011480364,-0.021699,288,1440,2870
0.011520365,0.016658,289,1445,2880
0.011560367,0.049622,290,1450,2890
0.011600368,0.081485,291,1455,2900
0.011640369,0.088436,292,1460,2910
0.011680371,0.062431,293,1465,2920
0.011720372,0.020535,294,1470,2930
0.011760373,-0.019812,295,1475,2940
0.011800374,-0.053095,296,1480,2950
0.011840376,-0.073476,297,1485,2960
0.011880377,-0.071886,298,1490,2970
0.011920378,-0.063783,299,1495,2980
0.011960379,-0.02242,300,1500,2990
0.012000381,0.002591,301,1505,3000
0.012040382,0.042444,302,1510,3010
0.012080383,0.067486,303,1515,3020
0.012120385,0.053654,304,1520,3030
0.012160386,0.03197,305,1525,3040
0.012200387,0.016791,306,1530,3050
0.012240388,0.003423,307,1535,3060
0.01228039,-0.013709,308,1540,3070
0.012320391,-0.027069,309,1545,3080
0.012360392,-0.024525,310,1550,3090
0.012400393,-0.015757,311,1555,3100
0.012440395,-0.006112,312,1560,3110
0.012480396,0.005157,313,1565,3120
0.012520397,0.007539,314,1570,3130
0.012560398,-0.005189,315,1575,3140
0.0126004,-0.021377,316,1580,3150
0.012640401,-0.021943,317,1585,3160
0.012680402,-0.006371,318,1590,3170
0.012720404,0.001713,319,1595,3180
0.012760405,0.017547,320,1600,3190
0.012800406,0.030084,321,1605,3200
0.012840407,0.036017,322,1610,3210
0.012880409,0.03551,323,1615,3220
0.01292041,0.026311,324,1620,3230
0.012960411,0.003355,325,1625,3240
0.013000412,-0.031451,326,1630,3250
0.013040414,-0.057911,327,1635,3260
0.013080415,-0.060333,328,1640,3270
0.013120416,-0.052816,329,1645,3280
0.013160418,-0.031974,330,1650,3290
0.013200419,0.002982,331,1655,3300
0.01324042,0.032206,332,1660,3310
0.013280421,0.061359,333,1665,3320
0.013320423,0.071009,334,1670,3330
0.013360424,0.063824,335,1675,3340
0.013400425,0.032626,336,1680,3350
0.013440426,-0.007324,337,1685,3360
0.013480428,-0.040275,338,1690,3370
0.013520429,-0.059036,339,1695,3380
0.01356043,-0.059497,340,1700,3390
0.013600431,-0.045225,341,1705,3400
0.013640433,-0.01588,342,1710,3410
0.013680434,0.014725,343,1715,3420
0.013720435,0.038986,344,1720,3430
0.013760437,0.052361,345,1725,3440
0.013800438,0.048344,346,1730,3450
0.013840439,0.021573,347,1735,3460
0.01388044,-0.011282,348,1740,3470
0.013920442,-0.036755,349,1745,3480
0.013960443,-0.04852,350,1750,3490
