Time,acceleration,,,
Time,acceleration,,,
0,0.024686,1,5,0
4.00E-05,0.033429,2,10,10
8.00E-05,0.037763,3,15,20
0.000120004,0.029868,4,20,30
0.000160005,0.005152,5,25,40
0.000200006,-0.031286,6,30,50
0.000240008,-0.056485,7,35,60
0.000280009,-0.061254,8,40,70
0.00032001,-0.05407,9,45,80
0.000360011,-0.031851,10,50,90
0.000400013,0.000341,11,55,100
0.000440014,0.030184,12,60,110
0.000480015,0.061148,13,65,120
0.000520016,0.072621,14,70,130
0.000560018,0.066141,15,75,140
0.000600019,0.032704,16,80,150
0.00064002,-0.009903,17,85,160
0.000680022,-0.041516,18,90,170
0.000720023,-0.062096,19,95,180
0.000760024,-0.062445,20,100,190
0.000800025,-0.044172,21,105,200
0.000840027,-0.014436,22,110,210
0.000880028,0.014031,23,115,220
0.000920029,0.039127,24,120,230
0.00096003,0.055296,25,125,240
0.001000032,0.048437,26,130,250
0.001040033,0.019312,27,135,260
0.001080034,-0.011577,28,140,270
0.001120036,-0.035877,29,145,280
0.001160037,-0.050124,30,150,290
0.001200038,-0.046217,31,155,300
0.001240039,-0.028919,32,160,310
0.001280041,-0.004513,33,165,320
0.001320042,0.020477,34,170,330
0.001360043,0.044181,35,175,340
0.001400044,0.058666,36,180,350
0.001440046,0.053158,37,185,360
0.001480047,0.030441,38,190,370
0.001520048,0.002908,39,195,380
0.001560049,-0.021311,40,200,390
0.001600051,-0.036001,41,205,400
0.001640052,-0.03762,42,210,410
0.001680053,-0.031704,43,215,420
0.001720055,-0.023896,44,220,430
0.001760056,-0.011668,45,225,440
0.001800057,0.006285,46,230,450
0.001840058,0.022262,47,235,460
0.00188006,0.021912,48,240,470
0.001920061,0.014456,49,245,480
0.001960062,0.00539,50,250,490
0.002000063,-0.000898,51,255,500
0.002040065,0.002262,52,260,510
0.002080066,0.012225,53,265,520
0.002120067,0.016545,54,270,530
0.002160069,0.014774,55,275,540
0.00220007,0.012696,56,280,550
0.002240071,0.009169,57,285,560
0.002280072,-0.003135,58,290,570
0.002320074,-0.023459,59,295,580
0.002360075,-0.037809,60,300,590
0.002400076,-0.047454,61,305,600
0.002440077,-0.04265,62,310,610
0.002480079,-0.020692,63,315,620
0.00252008,0.013069,64,320,630
0.002560081,0.045814,65,325,640
0.002600082,0.069381,66,330,650
0.002640084,0.073679,67,335,660
0.002680085,0.05387,68,340,670
0.002720086,0.019794,69,345,680
0.002760088,-0.019106,70,350,690
0.002800089,-0.053291,71,355,700
0.00284009,-0.075319,72,360,710
0.002880091,-0.088932,73,365,720
0.002920093,-0.070919,74,370,730
0.002960094,-0.028382,75,375,740
0.003000095,0.011522,76,380,750
0.003040096,0.052805,77,385,760
0.003080098,0.08529,78,390,770
0.003120099,0.07631,79,395,780
0.0031601,0.052142,80,400,790
0.003200102,0.024024,81,405,800
0.003240103,-0.004508,82,410,810
0.003280104,-0.038868,83,415,820
0.003320105,-0.057562,84,420,830
0.003360107,-0.052078,85,425,840
0.003400108,-0.034285,86,430,850
0.003440109,-0.012785,87,435,860
0.00348011,0.011448,88,440,870
0.003520112,0.022471,89,445,880
0.003560113,0.023682,90,450,890
0.003600114,0.01438,91,455,900
0.003640115,0.005579,92,460,910
0.003680117,5.95E-05,93,465,920
0.003720118,-0.011433,94,470,930
0.003760119,-0.011531,95,475,940
0.003800121,-0.003212,96,480,950
0.003840122,0.002575,97,485,960
0.003880123,0.005409,98,490,970
0.003920124,0.009666,99,495,980
0.003960126,0.012237,100,500,990
0.004000127,0.000645,101,505,1000
0.004040128,-0.010772,102,510,1010
0.004080129,-0.008797,103,515,1020
0.004120131,-0.010195,104,520,1030
0.004160132,-0.015543,105,525,1040
0.004200133,-0.008477,106,530,1050
0.004240135,0.003934,107,535,1060
0.004280136,0.011371,108,540,1070
0.004320137,0.017566,109,545,1080
0.004360138,0.022956,110,550,1090
0.00440014,0.01752,111,555,1100
0.004440141,-0.000448,112,560,1110
0.004480142,-0.016508,113,565,1120
0.004520143,-0.023417,114,570,1130
0.004560145,-0.025436,115,575,1140
0.004600146,-0.024609,116,580,1150
0.004640147,-0.007424,117,585,1160
0.004680148,0.015125,118,590,1170
0.00472015,0.02944,119,595,1180
0.004760151,0.041018,120,600,1190
0.004800152,0.045907,121,605,1200
0.004840154,0.02933,122,610,1210
0.004880155,-0.006379,123,615,1220
0.004920156,-0.038826,124,620,1230
0.004960157,-0.055931,125,625,1240
0.005000159,-0.063773,126,630,1250
0.00504016,-0.053151,127,635,1260
0.005080161,-0.020372,128,640,1270
0.005120162,0.018627,129,645,1280
0.005160164,0.052514,130,650,1290
0.005200165,0.083003,131,655,1300
0.005240166,0.09052,132,660,1310
0.005280168,0.063599,133,665,1320
0.005320169,0.019705,134,670,1330
0.00536017,-0.020575,135,675,1340
0.005400171,-0.054035,136,680,1350
0.005440173,-0.075366,137,685,1360
0.005480174,-0.067235,138,690,1370
0.005520175,-0.063086,139,695,1380
0.005560176,-0.023713,140,700,1390
0.005600178,0.002982,141,705,1400
0.005640179,0.043265,142,710,1410
0.00568018,0.062597,143,715,1420
0.005720181,0.056286,144,720,1430
0.005760183,0.03572,145,725,1440
0.005800184,0.014328,146,730,1450
0.005840185,-0.000953,147,735,1460
0.005880187,-0.015752,148,740,1470
0.005920188,-0.025571,149,745,1480
0.005960189,-0.026513,150,750,1490
